"imie";"odmiana";"plec";"sylaby"
"Abdon";"Abdonie";"M";"2"
"Abel";"Ablu";"M";"2"
"Abercjusz";"Abercjuszu";"M";"3"
"Abraham";"Abrahamie";"M";"3"
"Absalon";"Absalonie";"M";"3"
"Achacjusz";"Achacjuszu";"M";"3"
"Achacy";"Achacy";"M";"3"
"Achilles";"Achillesie";"M";"3"
"Ada";"Ado";"K";"2"
"Adalbert";"Adalbercie";"M";"3"
"Adam";"Admie";"M";"2"
"Adamina";"Adamino";"K";"4"
"Adaukt";"Adaukcie";"M";"2"
"Addar";"Addarze";"M";"2"
"Adela";"Adelo";"K";"3"
"Adelajda";"Adelajdo";"K";"4"
"Adelina";"Adelino";"K";"4"
"Ado";"Ado";"M";"2"
"Adolf";"Adolfie";"M";"2"
"Adolfa";"Adolfo";"K";"3"
"Adolfina";"Adolfino";"K";"4"
"Adria";"Adrio";"K";"2"
"Adrian";"Adrianie";"M";"2"
"Adriana";"Adriano";"K";"3"
"Adrianna";"Adrianno";"K";"3"
"Afanazy";"Anafazy";"M";"4"
"Afrodyta";"Afrodyto";"K";"4"
"Aga";"Ago";"K";"2"
"Agapit";"Agapicie";"M";"3"
"Agata";"Agato";"K";"3"
"Agaton";"Agatonie";"M";"3"
"Agatonik";"Agatoniku";"M";"4"
"Agenor";"Agenorze";"M";"3"
"Ageusz";"Ageuszu";"M";"3"
"Agnieszka";"Agnieszko";"K";"3"
"Agrypina";"Agrypino";"K";"4"
"Aida";"Aido";"K";"3"
"Aisza";"Aiszo";"K";"3"
"Alan";"Alanie";"M";"2"
"Alban";"Albanie";"M";"2"
"Albaniusz";"Albaniuszu";"M";"3"
"Albert";"Albercie";"M";"2"
"Alberta";"Alberto";"K";"3"
"Albertyna";"Albertyno";"K";"4"
"Albin";"Albinie";"M";"2"
"Albina";"Albino";"K";"3"
"Albrecht";"Albrechcie";"M";"2"
"Aldona";"Aldono";"K";"3"
"Aleksander";"Aleksandrze";"M";"4"
"Aleksandra";"Aleksandro";"K";"4"
"Aleksy";"Aleksy";"M";"3"
"Alf";"Alfie";"M";"1"
"Alfons";"Alfonsie";"M";"2"
"Alfonsyna";"Alfonsyno";"K";"4"
"Alfred";"Alfredzie";"M";"2"
"Alfreda";"Alfredo";"K";"3"
"Ali";"Ali";"M";"2"
"Alicja";"Alicjo";"K";"3"
"Alina";"Alino";"K";"3"
"Alma";"Almo";"K";"2"
"Alojza";"Alojzo";"K";"3"
"Alojzy";"Alojzy";"M";"3"
"Alpinian";"Alpininie";"M";"3"
"Amadea";"Amadeo";"K";"4"
"Amadeusz";"Amadeuszu";"M";"4"
"Amalia";"Amalio";"K";"3"
"Amata";"Amato";"K";"3"
"Ambroży";"Ambroży";"M";"3"
"Amedeusz";"Amedeuszu";"M";"4"
"Amelia";"Amelio";"K";"3"
"Amiceta";"Amiceto";"K";"4"
"Amin";"Aminie";"M";"2"
"Amon";"Amonie";"M";"2"
"Amos";"Amosie";"M";"2"
"Ananiasz";"Amaniaszu'';l";"M";"3"
"Anastazja";"Anastazjo";"K";"4"
"Anastazy";"Anastazy";"M";"4"
"Anatol";"Anatolu";"M";"3"
"Anatolia";"Anatolino";"K";"4"
"Andonik";"Andoniku";"M";"3"
"Andromeda";"Andromedo";"K";"4"
"Andron";"Andronie";"M";"2"
"Andrzej";"Andrzeju";"M";"2"
"Aneta";"Aneto";"K";"3"
"Angel";"Angelu";"M";"2"
"Angela";"Angelo";"K";"3"
"Angelika";"Angeliko";"K";"4"
"Angelina";"Angelino";"K";"4"
"Angelus";"Angelusie";"M";"3"
"Anicet";"Anicety";"M";"3"
"Aniceta";"Aniceto";"K";"4"
"Aniela";"Anielo";"K";"3"
"Anita";"Anito";"K";"3"
"Anna";"Anno";"K";"2"
"Antoni";"Antoni";"M";"3"
"Antonin";"Antoninie";"M";"3"
"Antonina";"Antonino";"K";"4"
"Antym";"Antymie";"M";"2"
"Anzelm";"Anzelmie";"M";"2"
"Apolinary";"Apolinary";"M";"3"
